Time,Sentiment,Joy,Anger,Sadness
7:00,-11.62,69.84,17,6
7:05,-9.67,69.48,17,6
7:10,59.52,70.42,5,30
7:15,47.23,68.26,8,27
7:20,58.87,66.92,54,12
7:25,47.44,68.62,34,48
7:30,47.44,68.62,34,48
7:35,73.64,69.64,8,10
7:40,47.74,66.22,6,23
7:45,43.09,70.4,7,20
7:50,54.72,65.76,6,20
7:55,59.18,65.76,4,14
8:00,59.18,72.74,4,14
8:05,66.74,72.74,3,14
8:10,66.74,83.53,3,14
8:15,70.02,69.13,3,13
8:20,62.24,68.88,4,17
8:25,45.66,68.88,50,17
8:30,45.66,93.47,50,5
8:35,77.81,80.66,1,5
8:40,77.81,80.66,1,3
8:45,64.21,80.66,4,3
8:50,64.21,80.66,4,4
8:55,64.21,63.22,4,3
9:00,64.21,75.59,4,4
9:05,11.6,75.59,6,3
9:10,77.19,69.79,3,3
9:15,77.19,72.8,3,3
9:20,9.39,72.8,7,16
9:25,65.12,71.13,4,16
9:30,65.12,81.75,4,15
9:35,-30.04,81.75,5,3
9:40,37.91,81.75,3,2
9:45,35.24,94.76,2,2
9:50,56.11,94.01,4,2
9:55,57.63,96.72,5,6
10:00,82.56,96.72,4,6
10:05,91.05,96.72,4,5
10:10,90.1,91.69,3,2
10:15,91.56,85.06,3,2
10:20,96.32,85.06,4,2
10:25,94.14,91.4,3,2
10:30,94.01,91.4,4,2
